teamone,crowd,penalties,venue,date,link,referees,teamtwo,scrums
"{'players': [{'g': u'', 'pos': u'FB', 'player': u'Greg Inglis', 't': u'3', 'fg': u'', 'pts': u'12'}, {'g': u'', 'pos': u'WG', 'player': u'Nathan Merritt', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'CN', 'player': u'Beau Champion', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'CN', 'player': u'Bryson Goodwin', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'WG', 'player': u'Lote Tuqiri', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'FE', 'player': u'Dylan Walker', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'6/6', 'pos': u'HB', 'player': u'Adam Reynolds', 't': u'', 'fg': u'', 'pts': u'12'}, {'g': u'', 'pos': u'PR', 'player': u'George Burgess', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HK', 'player': u'Issac Luke', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Sam Burgess', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Chris McQueen', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u""Ben Te'o"", 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'LK', 'player': u'John Sutton', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Ben Lowe', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Joe Picker', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Dave Tyrrell', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Luke Burgess', 't': u'', 'fg': u'', 'pts': u''}], 'name': u'Souths'}",27282,Souths 12-6,Stadium Australia,06-Mar-2014,http://stats.rleague.com/rl/scorers/games/2014/201403060921.html,"Ben Cummins,Luke Phillips","{'players': [{'g': u'', 'pos': u'FB', 'player': u'Anthony Minichiello', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Daniel Tupou', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'CN', 'player': u'Michael Jennings', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'CN', 'player': u'Shaun Kenny-Dowall', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Roger Tuivasa-Sheck', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'2/2', 'pos': u'FE', 'player': u'James Maloney', 't': u'', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'HB', 'player': u'Mitchell Pearce', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Jared Waerea-Hargreaves', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HK', 'player': u'Jake Friend', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Sam Moa', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Boyd Cordner', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Sonny Bill Williams', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'LK', 'player': u'Aidan Guerra', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u""Frank-Paul Nu'uausala"", 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Daniel Mortimer', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Mitchell Aubusson', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Dylan Napa', 't': u'', 'fg': u'', 'pts': u''}], 'name': u'Sydney Roosters'}",8-8
"{'players': [{'g': u'', 'pos': u'FB', 'player': u'William Zillman', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Kevin Gordon', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'CN', 'player': u'Brad Takairangi', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'CN', 'player': u'James Roberts', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'David Mead', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'FE', 'player': u'Maurice Blair', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'1/1', 'pos': u'HB', 'player': u'Daniel Mortimer', 't': u'', 'fg': u'', 'pts': u'2'}, {'g': u'', 'pos': u'PR', 'player': u'Luke Bailey', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HK', 'player': u'Beau Falloon', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Luke Douglas', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Dave Taylor', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Mark Minichiello', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'LK', 'player': u'Ben Ridge', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'2/2', 'pos': u'BE', 'player': u'Greg Bird', 't': u'', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'BE', 'player': u'Matthew White', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Matt Srama', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Nate Myles', 't': u'', 'fg': u'', 'pts': u''}], 'name': u'Gold Coast Titans'}",12189,St George Illawarra 4-3,Robina,22-Jun-2014,http://stats.rleague.com/rl/scorers/games/2014/201406222933.html,"Gerard Sutton,Gavin Badger","{'players': [{'g': u'', 'pos': u'FB', 'player': u'Adam Quinlan', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Charly Runciman', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'CN', 'player': u'Josh Dugan', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'CN', 'player': u'Gerard Beale', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Jason Nightingale', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'3/3', 'pos': u'FE', 'player': u'Gareth Widdop', 't': u'', 'fg': u'1', 'pts': u'7'}, {'g': u'', 'pos': u'HB', 'player': u'Benji Marshall', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Ben Creagh', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HK', 'player': u'Mitch Rein', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Mike Cooper', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Leeson Ah Mau', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'SR', 'player': u'Joel Thompson', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'LK', 'player': u'Jack De Belin', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Trent Merrin', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'BE', 'player': u'Will Matthews', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Shane Pumipi', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Bronson Harrison', 't': u'', 'fg': u'', 'pts': u''}], 'name': u'St George Illawarra'}",Gold Coast Titans 8-6
"{'players': [{'g': u'', 'pos': u'FB', 'player': u'Sam Tomkins', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'David Fusitua', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'CN', 'player': u'Konrad Hurrell', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'CN', 'player': u'Ngani Laumape', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Manu Vatuvei', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'FE', 'player': u'Chad Townsend', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'3/3', 'pos': u'HB', 'player': u'Shaun Johnson', 't': u'', 'fg': u'1', 'pts': u'7'}, {'g': u'', 'pos': u'PR', 'player': u'Jacob Lillyman', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HK', 'player': u'Nathan Friend', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Sam Rapira', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Jayson Bukuya', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Simon Mannering', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'LK', 'player': u'Sebastine Ikahihifo', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Feleti Mateo', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Suaia Matagi', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Charlie Gubb', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Ben Henry', 't': u'1', 'fg': u'', 'pts': u'4'}], 'name': u'New Zealand'}",16025,New Zealand 6-4,Mt Smart,21-Jun-2014,http://stats.rleague.com/rl/scorers/games/2014/201406210204.html,"Jared Maxwell,David Munro","{'players': [{'g': u'', 'pos': u'FB', 'player': u'Ben Barba', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'WG', 'player': u'Daniel Vidot', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'CN', 'player': u'Jack Reed', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'CN', 'player': u'Dale Copley', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Lachlan Maranta', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'FE', 'player': u'Josh Hoffman', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'1/2', 'pos': u'HB', 'player': u'Ben Hunt', 't': u'', 'fg': u'', 'pts': u'2'}, {'g': u'', 'pos': u'PR', 'player': u'Josh McGuire', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HK', 'player': u'Jake Granville', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'PR', 'player': u'Ben Hannant', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Alex Glenn', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Matt Gillett', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'LK', 'player': u'Sam Thaiday', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Corey Oates', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Todd Lowrie', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'David Stagg', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'David Hala', 't': u'', 'fg': u'', 'pts': u''}], 'name': u'Brisbane'}",Brisbane 6-3
"{'players': [{'g': u'', 'pos': u'FB', 'player': u'Darius Boyd', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'WG', 'player': u'James McManus', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'CN', 'player': u'Dane Gagai', 't': u'2', 'fg': u'', 'pts': u'8'}, {'g': u'', 'pos': u'CN', 'player': u'Joey Leilua', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'WG', 'player': u'Akuila Uate', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'FE', 'player': u'Jarrod Mullen', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'4/7', 'pos': u'HB', 'player': u'Kurt Gidley', 't': u'1', 'fg': u'', 'pts': u'12'}, {'g': u'', 'pos': u'PR', 'player': u'Korbin Sims', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HK', 'player': u'Adam Clydesdale', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Willie Mason', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Beau Scott', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Robbie Rochow', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'LK', 'player': u'Jeremy Smith', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Tyrone Roberts', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'BE', 'player': u'Chris Houston', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Joseph Tapine', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Clint Newton', 't': u'', 'fg': u'', 'pts': u''}], 'name': u'Newcastle'}",11925,7-7,Newcastle ISC,23-Jun-2014,http://stats.rleague.com/rl/scorers/games/2014/201406231417.html,"Matt Cecchin,Chris James","{'players': [{'g': u'', 'pos': u'FB', 'player': u'Michael Morgan', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Curtis Rona', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'CN', 'player': u'Matthew Wright', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'CN', 'player': u'Kane Linnett', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Antonio Winterstein', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'4/5', 'pos': u'FE', 'player': u'Johnathan Thurston', 't': u'', 'fg': u'', 'pts': u'8'}, {'g': u'', 'pos': u'HB', 'player': u'Ray Thompson', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Glenn Hall', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HK', 'player': u'Rory Kostjasyn', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'James Tamou', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Ethan Lowe', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Tariq Sims', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'LK', 'player': u'Scott Bolton', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Robert Lui', 't': u'2', 'fg': u'', 'pts': u'8'}, {'g': u'', 'pos': u'BE', 'player': u'Ashton Sims', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Jason Taumalolo', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'John Asiata', 't': u'', 'fg': u'', 'pts': u''}], 'name': u'North Queensland'}",Newcastle 5-4
"{'players': [{'g': u'', 'pos': u'FB', 'player': u'Billy Slater', 't': u'2', 'fg': u'', 'pts': u'8'}, {'g': u'', 'pos': u'WG', 'player': u'Sisa Waqa', 't': u'2', 'fg': u'', 'pts': u'8'}, {'g': u'', 'pos': u'CN', 'player': u'Kurt Mann', 't': u'2', 'fg': u'', 'pts': u'8'}, {'g': u'', 'pos': u'CN', 'player': u'Mahe Fonua', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Young Tonumaipea', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'FE', 'player': u'Ben Hampton', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'1/1', 'pos': u'HB', 'player': u'Ben Roberts', 't': u'', 'fg': u'', 'pts': u'2'}, {'g': u'', 'pos': u'PR', 'player': u'Jesse Bromwich', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'6/7', 'pos': u'HK', 'player': u'Cameron Smith', 't': u'', 'fg': u'', 'pts': u'12'}, {'g': u'', 'pos': u'PR', 'player': u'Jordan McLean', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'SR', 'player': u'Kevin Proctor', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Tohu Harris', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'LK', 'player': u'Ryan Hinchcliffe', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Bryan Norrie', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'BE', 'player': u'Ryan Hoffman', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Kenny Bromwich', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Junior Moors', 't': u'', 'fg': u'', 'pts': u''}], 'name': u'Melbourne'}",12635,Melbourne 8-7,M.R.S.,22-Jun-2014,http://stats.rleague.com/rl/scorers/games/2014/201406221827.html,"Ben Cummins,Grant Atkins","{'players': [{'g': u'', 'pos': u'FB', 'player': u'Jarryd Hayne', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Semi Radradra', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'CN', 'player': u'Ryan Morgan', 't': u'2', 'fg': u'', 'pts': u'8'}, {'g': u'', 'pos': u'CN', 'player': u'Willie Tonga', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'WG', 'player': u'Vai Toutai', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'FE', 'player': u'Corey Norman', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'2/4', 'pos': u'HB', 'player': u'Chris Sandow', 't': u'', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'PR', 'player': u'Tim Mannah', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HK', 'player': u'Isaac De Gois', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Junior Paulo', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Kenny Edwards', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Pauli Pauli', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'LK', 'player': u'Joseph Paulo', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'David Gower', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Lee Mossop', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Peni Terepo', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Kelepi Tanginoa', 't': u'', 'fg': u'', 'pts': u''}], 'name': u'Parramatta'}",Parramatta 6-4
"{'players': [{'g': u'', 'pos': u'FB', 'player': u'William Zillman', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'2/5', 'pos': u'WG', 'player': u'Kevin Gordon', 't': u'2', 'fg': u'', 'pts': u'12'}, {'g': u'', 'pos': u'CN', 'player': u'Brad Tighe', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'CN', 'player': u'James Roberts', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'WG', 'player': u'David Mead', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'FE', 'player': u'Maurice Blair', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HB', 'player': u'Beau Henry', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Luke Bailey', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HK', 'player': u'Beau Falloon', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Luke Douglas', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Brad Takairangi', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Mark Minichiello', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'LK', 'player': u'Ashley Harrison', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Ben Ridge', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Matthew White', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Matt Srama', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Caleb Binge', 't': u'', 'fg': u'', 'pts': u''}], 'name': u'Gold Coast Titans'}",6497,Gold Coast Titans 8-5,Robina,16-Jun-2014,http://stats.rleague.com/rl/scorers/games/2014/201406162733.html,"Jared Maxwell,David Munro","{'players': [{'g': u'', 'pos': u'FB', 'player': u'Kurt Mann', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'', 'pos': u'WG', 'player': u'Sisa Waqa', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'CN', 'player': u'Mahe Fonua', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'CN', 'player': u'Will Chambers', 't': u'2', 'fg': u'', 'pts': u'8'}, {'g': u'', 'pos': u'WG', 'player': u'Young Tonumaipea', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'FE', 'player': u'Ben Hampton', 't': u'1', 'fg': u'', 'pts': u'4'}, {'g': u'2/5', 'pos': u'HB', 'player': u'Ben Roberts', 't': u'1', 'fg': u'', 'pts': u'8'}, {'g': u'', 'pos': u'PR', 'player': u'Jesse Bromwich', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'HK', 'player': u'Ryan Hinchcliffe', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'PR', 'player': u'Bryan Norrie', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Kevin Proctor', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'SR', 'player': u'Tohu Harris', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'LK', 'player': u'Junior Moors', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Kenny Bromwich', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Joel Romelo', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Tim Glasby', 't': u'', 'fg': u'', 'pts': u''}, {'g': u'', 'pos': u'BE', 'player': u'Jordan McLean', 't': u'', 'fg': u'', 'pts': u''}], 'name': u'Melbourne'}",Gold Coast Titans 6-4
